voltage_run_5_spot_3_10	absJ_run_5_spot_3_10	J_run_5_spot_3_10	current_run_5_spot_3_10	time_run_5_spot_3_10	
-2.000000E-1	1.488096E-1	-1.488096E-1	-1.869996E-6	7.758105E+1
-1.500000E-1	1.140959E-1	-1.140959E-1	-1.433771E-6	7.794922E+1
-1.000000E-1	8.002629E-2	-8.002629E-2	-1.005640E-6	7.869043E+1
-5.000000E-2	4.164667E-2	-4.164667E-2	-5.233475E-7	7.905762E+1
0.000000E+0	1.227977E-4	-1.227977E-4	-1.543121E-9	7.979883E+1
0.000000E+0	1.261841E-4	-1.261841E-4	-1.585676E-9	8.016797E+1
5.000000E-2	4.990050E-2	4.990050E-2	6.270681E-7	8.128223E+1
1.000000E-1	1.089396E-1	1.089396E-1	1.368976E-6	8.240820E+1
1.500000E-1	1.734264E-1	1.734264E-1	2.179341E-6	8.277637E+1
2.000000E-1	2.461590E-1	2.461590E-1	3.093325E-6	8.314453E+1
2.500000E-1	3.257395E-1	3.257395E-1	4.093363E-6	8.351172E+1
3.000000E-1	4.128855E-1	4.128855E-1	5.188472E-6	8.387988E+1
3.500000E-1	5.135974E-1	5.135974E-1	6.454055E-6	8.424805E+1
4.000000E-1	6.343245E-1	6.343245E-1	7.971157E-6	8.461523E+1
4.500000E-1	7.812142E-1	7.812142E-1	9.817027E-6	8.498340E+1
5.000000E-1	1.001256E+0	1.001256E+0	1.258215E-5	8.609766E+1
5.000000E-1	1.010554E+0	1.010554E+0	1.269900E-5	8.646582E+1
4.500000E-1	8.683589E-1	8.683589E-1	1.091212E-5	8.683398E+1
4.000000E-1	7.341299E-1	7.341299E-1	9.225349E-6	8.758105E+1
3.500000E-1	6.137382E-1	6.137382E-1	7.712461E-6	8.794922E+1
3.000000E-1	5.030088E-1	5.030088E-1	6.320995E-6	8.831641E+1
2.500000E-1	4.038069E-1	4.038069E-1	5.074387E-6	8.868457E+1
2.000000E-1	3.112824E-1	3.112824E-1	3.911690E-6	8.905273E+1
1.500000E-1	2.251762E-1	2.251762E-1	2.829648E-6	8.941992E+1
1.000000E-1	1.459316E-1	1.459316E-1	1.833831E-6	8.978809E+1
5.000000E-2	6.961527E-2	6.961527E-2	8.748113E-7	9.052930E+1
0.000000E+0	1.394937E-4	-1.394937E-4	-1.752930E-9	9.126953E+1
-5.000000E-2	6.626223E-2	-6.626223E-2	-8.326757E-7	9.238477E+1
-1.000000E-1	1.293442E-1	-1.293442E-1	-1.625387E-6	9.351172E+1
-1.500000E-1	1.901707E-1	-1.901707E-1	-2.389755E-6	9.387891E+1
-2.000000E-1	2.507098E-1	-2.507098E-1	-3.150512E-6	9.424707E+1
-2.500000E-1	3.097120E-1	-3.097120E-1	-3.891956E-6	9.461523E+1
-3.000000E-1	3.662994E-1	-3.662994E-1	-4.603054E-6	9.498242E+1
-3.500000E-1	4.160757E-1	-4.160757E-1	-5.228562E-6	9.535059E+1
-4.000000E-1	4.587540E-1	-4.587540E-1	-5.764873E-6	9.571777E+1
-4.500000E-1	4.948163E-1	-4.948163E-1	-6.218045E-6	9.608594E+1
-5.000000E-1	5.245497E-1	-5.245497E-1	-6.591686E-6	9.645410E+1
-5.000000E-1	5.012470E-1	-5.012470E-1	-6.298856E-6	9.682129E+1
-4.500000E-1	4.312672E-1	-4.312672E-1	-5.419463E-6	9.718945E+1
-4.000000E-1	3.712947E-1	-3.712947E-1	-4.665827E-6	9.755664E+1
-3.500000E-1	3.212991E-1	-3.212991E-1	-4.037564E-6	9.792480E+1
-3.000000E-1	2.743120E-1	-2.743120E-1	-3.447106E-6	9.829297E+1
-2.500000E-1	2.300137E-1	-2.300137E-1	-2.890437E-6	9.866016E+1
-2.000000E-1	1.870411E-1	-1.870411E-1	-2.350428E-6	9.902832E+1
-1.500000E-1	1.432319E-1	-1.432319E-1	-1.799905E-6	9.939551E+1
-1.000000E-1	9.900273E-2	-9.900273E-2	-1.244105E-6	9.976367E+1
