voltage_spot_2_run_3_10	absJ_spot_2_run_3_10	J_spot_2_run_3_10	current_spot_2_run_3_10	time_spot_2_run_3_10	
5.000000E-2	3.258618E-5	3.258618E-5	2.135920E-10	7.598047E+1
0.000000E+0	5.967210E-8	-5.967210E-8	-3.911316E-13	7.715625E+1
-5.000000E-2	2.461497E-5	-2.461497E-5	-1.613433E-10	7.827148E+1
-1.000000E-1	5.106714E-5	-5.106714E-5	-3.347288E-10	7.863965E+1
-1.500000E-1	9.536967E-5	-9.536967E-5	-6.251178E-10	7.900781E+1
-2.000000E-1	1.435482E-4	-1.435482E-4	-9.409123E-10	7.937695E+1
-2.500000E-1	1.846670E-4	-1.846670E-4	-1.210433E-9	8.049121E+1
-3.000000E-1	3.319042E-4	-3.319042E-4	-2.175526E-9	8.085938E+1
-3.500000E-1	5.327710E-4	-5.327710E-4	-3.492144E-9	8.122754E+1
-4.000000E-1	4.164933E-4	-4.164933E-4	-2.729981E-9	8.159473E+1
-4.500000E-1	4.693624E-4	-4.693624E-4	-3.076521E-9	8.196289E+1
-5.000000E-1	5.739495E-4	-5.739495E-4	-3.762056E-9	8.233105E+1
-5.000000E-1	5.748127E-4	-5.748127E-4	-3.767714E-9	8.269824E+1
-4.500000E-1	4.448274E-4	-4.448274E-4	-2.915702E-9	8.306641E+1
-4.000000E-1	3.624750E-4	-3.624750E-4	-2.375908E-9	8.343359E+1
-3.500000E-1	3.056617E-4	-3.056617E-4	-2.003515E-9	8.380176E+1
-3.000000E-1	2.360681E-4	-2.360681E-4	-1.547351E-9	8.416992E+1
-2.500000E-1	1.792028E-4	-1.792028E-4	-1.174617E-9	8.453711E+1
-2.000000E-1	1.207264E-4	-1.207264E-4	-7.913233E-10	8.527832E+1
-1.500000E-1	8.240791E-5	-8.240791E-5	-5.401576E-10	8.564746E+1
-1.000000E-1	4.464771E-5	-4.464771E-5	-2.926515E-10	8.601563E+1
-5.000000E-2	2.595786E-5	-2.595786E-5	-1.701455E-10	8.638379E+1
0.000000E+0	5.845468E-8	-5.845468E-8	-3.831518E-13	8.755859E+1
0.000000E+0	5.651530E-8	-5.651530E-8	-3.704398E-13	8.826270E+1
5.000000E-2	2.591289E-5	2.591289E-5	1.698507E-10	8.937793E+1
1.000000E-1	6.093964E-5	6.093964E-5	3.994399E-10	8.974609E+1
1.500000E-1	1.148816E-4	1.148816E-4	7.530124E-10	9.011426E+1
2.000000E-1	2.352259E-4	2.352259E-4	1.541831E-9	9.122852E+1
2.500000E-1	3.341710E-4	3.341710E-4	2.190384E-9	9.159668E+1
3.000000E-1	5.554823E-4	5.554823E-4	3.641009E-9	9.196484E+1
3.500000E-1	6.964905E-4	6.964905E-4	4.565273E-9	9.233203E+1
4.000000E-1	9.331180E-4	9.331180E-4	6.116291E-9	9.270020E+1
4.500000E-1	1.239790E-3	1.239790E-3	8.126427E-9	9.306738E+1
5.000000E-1	1.213648E-3	1.213648E-3	7.955077E-9	9.343555E+1
5.000000E-1	1.133526E-3	1.133526E-3	7.429902E-9	9.380371E+1
4.500000E-1	9.993168E-4	9.993168E-4	6.550203E-9	9.417090E+1
4.000000E-1	1.101014E-3	1.101014E-3	7.216793E-9	9.453906E+1
3.500000E-1	1.347161E-3	1.347161E-3	8.830211E-9	9.490625E+1
3.000000E-1	1.145313E-3	1.145313E-3	7.507159E-9	9.527441E+1
2.500000E-1	9.924121E-4	9.924121E-4	6.504945E-9	9.564258E+1
2.000000E-1	6.642624E-4	6.642624E-4	4.354028E-9	9.600977E+1
1.500000E-1	4.846642E-4	4.846642E-4	3.176819E-9	9.637793E+1
1.000000E-1	2.860228E-4	2.860228E-4	1.874788E-9	9.674512E+1
5.000000E-2	1.527423E-4	1.527423E-4	1.001177E-9	9.711328E+1
0.000000E+0	4.911514E-7	-4.911514E-7	-3.219341E-12	9.828711E+1
-5.000000E-2	1.211128E-4	-1.211128E-4	-7.938560E-10	9.940332E+1
-1.000000E-1	2.462613E-4	-2.462613E-4	-1.614164E-9	1.005176E+2
-1.500000E-1	3.902263E-4	-3.902263E-4	-2.557809E-9	1.008857E+2
-2.000000E-1	5.622327E-4	-5.622327E-4	-3.685256E-9	1.012529E+2
-2.500000E-1	7.668840E-4	-7.668840E-4	-5.026680E-9	1.016211E+2
-3.000000E-1	1.067931E-3	-1.067931E-3	-6.999950E-9	1.019893E+2
-3.500000E-1	1.366910E-3	-1.366910E-3	-8.959659E-9	1.023564E+2
-4.000000E-1	1.002089E-2	-1.002089E-2	-6.568375E-8	1.034707E+2
-4.500000E-1	1.410300E-2	-1.410300E-2	-9.244067E-8	1.038389E+2
-5.000000E-1	1.036980E-2	-1.036980E-2	-6.797075E-8	1.049580E+2
-5.000000E-1	2.965069E-2	-2.965069E-2	-1.943508E-7	1.064512E+2
-4.500000E-1	2.985190E-2	-2.985190E-2	-1.956697E-7	1.068193E+2
-4.000000E-1	2.003808E-2	-2.003808E-2	-1.313432E-7	1.071865E+2
-3.500000E-1	1.568915E-2	-1.568915E-2	-1.028374E-7	1.075547E+2
-3.000000E-1	1.593702E-2	-1.593702E-2	-1.044621E-7	1.079229E+2
-2.500000E-1	1.556320E-2	-1.556320E-2	-1.020118E-7	1.082900E+2
-2.000000E-1	5.235590E-3	-5.235590E-3	-3.431762E-8	1.097832E+2
-1.500000E-1	5.500218E-3	-5.500218E-3	-3.605217E-8	1.105244E+2
-1.000000E-1	2.723452E-3	-2.723452E-3	-1.785136E-8	1.108916E+2
-5.000000E-2	1.284727E-3	-1.284727E-3	-8.420973E-9	1.116328E+2
0.000000E+0	4.318855E-6	-4.318855E-6	-2.830872E-11	1.128066E+2
0.000000E+0	3.429139E-6	-3.429139E-6	-2.247691E-11	1.135107E+2
5.000000E-2	2.338961E-3	2.338961E-3	1.533114E-8	1.142529E+2
1.000000E-1	5.637748E-3	5.637748E-3	3.695364E-8	1.146201E+2
1.500000E-1	1.075336E-2	1.075336E-2	7.048483E-8	1.149883E+2
2.000000E-1	1.354153E-2	1.354153E-2	8.876039E-8	1.153555E+2
2.500000E-1	1.524636E-2	1.524636E-2	9.993505E-8	1.164756E+2
3.000000E-1	2.219190E-2	2.219190E-2	1.454608E-7	1.168438E+2
3.500000E-1	2.385443E-2	2.385443E-2	1.563582E-7	1.172109E+2
4.000000E-1	2.903014E-2	2.903014E-2	1.902833E-7	1.175791E+2
4.500000E-1	3.027139E-2	3.027139E-2	1.984193E-7	1.179463E+2
5.000000E-1	4.210577E-2	4.210577E-2	2.759899E-7	1.183145E+2
5.000000E-1	3.940732E-2	3.940732E-2	2.583024E-7	1.186826E+2
4.500000E-1	3.241821E-2	3.241821E-2	2.124910E-7	1.190498E+2
4.000000E-1	2.474549E-2	2.474549E-2	1.621988E-7	1.194180E+2
3.500000E-1	2.113116E-2	2.113116E-2	1.385080E-7	1.197852E+2
3.000000E-1	1.725881E-2	1.725881E-2	1.131260E-7	1.201533E+2
2.500000E-1	1.203271E-2	1.203271E-2	7.887056E-8	1.208945E+2
2.000000E-1	1.025274E-2	1.025274E-2	6.720342E-8	1.212617E+2
1.500000E-1	7.120316E-3	7.120316E-3	4.667140E-8	1.216299E+2
1.000000E-1	4.758608E-3	4.758608E-3	3.119116E-8	1.219980E+2
5.000000E-2	2.201535E-3	2.201535E-3	1.443036E-8	1.223652E+2
0.000000E+0	4.981515E-6	-4.981515E-6	-3.265224E-11	1.235400E+2
-5.000000E-2	1.913704E-3	-1.913704E-3	-1.254372E-8	1.242822E+2
-1.000000E-1	3.535048E-3	-3.535048E-3	-2.317111E-8	1.246494E+2
-1.500000E-1	6.117264E-3	-6.117264E-3	-4.009671E-8	1.250176E+2
-2.000000E-1	9.459895E-3	-9.459895E-3	-6.200659E-8	1.253857E+2
-2.500000E-1	1.130574E-2	-1.130574E-2	-7.410554E-8	1.257529E+2
-3.000000E-1	1.489135E-2	-1.489135E-2	-9.760808E-8	1.261211E+2
-3.500000E-1	9.303904E-3	-9.303904E-3	-6.098412E-8	1.272402E+2
-4.000000E-1	1.106894E-2	-1.106894E-2	-7.255339E-8	1.279814E+2
-4.500000E-1	1.053812E-2	-1.053812E-2	-6.907402E-8	1.283496E+2
-5.000000E-1	1.113465E-2	-1.113465E-2	-7.298407E-8	1.287168E+2
-5.000000E-1	1.116472E-2	-1.116472E-2	-7.318117E-8	1.290850E+2
-4.500000E-1	9.386157E-3	-9.386157E-3	-6.152327E-8	1.294531E+2
-4.000000E-1	7.937033E-3	-7.937033E-3	-5.202472E-8	1.298203E+2
-3.500000E-1	6.946710E-3	-6.946710E-3	-4.553347E-8	1.301885E+2
-3.000000E-1	5.879569E-3	-5.879569E-3	-3.853870E-8	1.305557E+2
-2.500000E-1	4.606520E-3	-4.606520E-3	-3.019427E-8	1.309238E+2
-2.000000E-1	3.681421E-3	-3.681421E-3	-2.413054E-8	1.312920E+2
-1.500000E-1	2.543684E-3	-2.543684E-3	-1.667304E-8	1.316592E+2
-1.000000E-1	1.710686E-3	-1.710686E-3	-1.121300E-8	1.320273E+2
